읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
천곡동,소계,22624,14183,245,5794,3841,1264,114,108,25,894,106,573,18,5,4,132,9,6,197,5,11,19,22,2,11,44,49,47,71,1,11,40,14,4,14,8,13,13721,462,8441
,관내사전투표,5259,5259,91,2015,1596,501,36,33,6,324,26,285,9,0,0,37,3,0,37,0,2,6,8,0,3,14,17,15,30,0,6,6,5,1,3,1,7,5123,136,0
,천곡동제1투,1855,990,17,434,244,70,11,7,5,49,10,36,0,0,0,7,0,1,23,0,2,2,2,0,2,5,6,3,2,1,2,2,0,0,3,1,0,947,43,865
,천곡동제2투,1567,753,7,375,156,56,7,7,2,33,10,16,1,1,1,9,2,1,13,0,0,0,0,2,1,3,3,2,6,0,0,3,1,0,1,2,0,721,32,814
,천곡동제3투,2069,881,15,374,212,80,10,7,3,46,11,19,1,1,0,10,0,1,17,1,2,0,3,0,0,5,2,4,7,0,2,5,1,0,0,1,2,842,39,1188
,천곡동제4투,1718,856,14,382,205,55,8,8,2,79,4,26,0,0,0,3,0,0,15,0,1,0,0,0,0,2,3,8,2,0,0,4,0,1,0,1,0,823,33,862
,천곡동제5투,1562,849,19,438,171,54,6,5,2,43,9,19,1,0,1,8,0,2,18,1,1,0,1,0,3,4,2,0,4,0,0,2,0,1,0,0,0,815,34,713
,천곡동제6투,1432,860,15,409,191,75,7,7,1,52,3,27,3,1,0,14,1,1,17,1,1,0,0,0,0,2,3,7,5,0,0,0,0,0,0,0,1,844,16,572
,천곡동제7투,1736,815,16,369,194,57,6,12,3,46,11,25,1,1,1,6,0,0,20,1,0,2,2,0,0,3,4,1,1,0,0,1,1,0,2,0,0,786,29,921
,천곡동제8투,2654,1447,26,463,458,162,8,10,0,117,13,48,2,0,1,15,2,0,28,0,1,3,3,0,1,1,5,4,8,0,1,10,4,1,3,2,1,1401,46,1207
,천곡동제9투,2772,1473,25,535,414,154,15,12,1,105,9,72,0,1,0,23,1,0,9,1,1,6,3,0,1,5,4,3,6,0,0,7,2,0,2,0,2,1419,54,1299
송정동,소계,3705,2335,41,1059,560,174,20,22,6,103,26,93,0,1,0,22,0,0,44,2,3,6,3,1,1,9,10,11,7,0,2,2,1,3,2,0,3,2237,98,1370
,관내사전투표,920,920,15,363,276,76,4,10,1,49,8,56,0,0,0,9,0,0,5,1,2,3,2,0,0,3,3,5,2,0,0,1,0,0,1,0,1,896,24,0
,송정동제1투,1814,912,17,466,174,57,13,7,4,26,9,22,0,0,0,6,0,0,30,1,1,1,1,1,1,3,6,1,3,0,1,1,1,1,1,0,2,857,55,902
,송정동제2투,971,503,9,230,110,41,3,5,1,28,9,15,0,1,0,7,0,0,9,0,0,2,0,0,0,3,1,5,2,0,1,0,0,2,0,0,0,484,19,468
북삼동,소계,15196,9717,168,3510,2823,1015,67,95,19,601,75,486,12,2,2,79,11,5,127,5,9,11,19,1,9,26,26,35,48,4,10,28,4,1,10,8,12,9363,354,5479
,관내사전투표,4199,4199,61,1300,1445,488,26,45,7,262,31,269,3,0,1,26,2,4,22,2,3,1,9,0,3,4,10,13,19,2,1,8,1,0,4,1,4,4077,122,0
,북삼동제1투,1728,875,23,378,191,72,8,8,0,48,7,37,2,1,0,11,3,0,23,0,2,2,2,0,1,2,2,5,4,0,3,3,0,0,2,0,0,840,35,853
,북삼동제2투,999,529,10,270,99,34,7,2,0,17,4,19,1,0,0,6,2,0,5,0,1,1,0,0,1,4,1,1,2,0,2,4,0,0,0,2,2,497,32,470
,북삼동제3투,1742,918,13,409,224,81,7,7,1,46,8,26,0,1,0,5,0,0,23,2,1,2,2,1,1,3,0,5,5,1,1,7,0,0,1,0,1,884,34,824
,북삼동제4투,2271,1022,18,353,291,129,7,9,5,64,6,36,2,0,1,8,1,0,18,0,0,2,1,0,1,5,3,4,5,0,0,5,1,0,2,1,1,979,43,1249
,북삼동제5투,2125,1107,15,423,271,117,6,6,3,77,15,51,0,0,0,12,1,0,20,1,0,1,3,0,1,5,7,5,6,1,2,1,0,0,1,3,2,1056,51,1018
,북삼동제6투,2132,1067,28,377,302,94,6,18,3,87,4,48,4,0,0,11,2,1,16,0,2,2,2,0,1,3,3,2,7,0,1,0,2,1,0,1,2,1030,37,1065
부곡동,소계,4927,3068,64,1334,749,198,36,34,17,139,30,124,4,0,0,31,1,4,68,3,1,3,4,2,3,7,15,14,8,2,3,6,5,0,4,0,2,2915,153,1859
,관내사전투표,1263,1263,15,513,354,92,6,21,5,78,10,72,1,0,0,7,1,1,19,2,0,0,2,2,0,2,4,5,3,0,1,2,1,0,1,0,2,1222,41,0
,부곡동제1투,1574,804,23,374,177,44,15,8,5,34,8,21,2,0,0,10,0,1,19,1,0,2,1,0,2,0,5,3,1,0,1,1,0,0,2,0,0,760,44,770
,부곡동제2투,1117,579,18,257,127,35,7,3,3,12,7,21,0,0,0,8,0,2,22,0,0,0,0,0,1,4,4,2,2,0,0,1,3,0,0,0,0,539,40,538
,부곡동제3투,973,422,8,190,91,27,8,2,4,15,5,10,1,0,0,6,0,0,8,0,1,1,1,0,0,1,2,4,2,2,1,2,1,0,1,0,0,394,28,551
동호동,소계,4361,2724,57,1246,623,217,33,27,11,110,26,84,0,0,0,31,1,2,39,1,2,8,3,1,1,12,10,8,9,1,5,9,0,1,4,3,4,2589,135,1637
,관내사전투표,1114,1114,22,470,301,82,14,12,2,47,9,53,0,0,0,14,0,1,12,0,0,1,2,0,0,4,5,4,5,0,0,2,0,0,0,0,2,1064,50,0
,동호동제1투,1782,909,25,380,208,95,7,9,6,41,11,18,0,0,0,12,0,0,16,0,1,7,1,0,0,3,4,0,4,0,4,3,0,1,1,2,1,860,49,873
,동호동제2투,1465,701,10,396,114,40,12,6,3,22,6,13,0,0,0,5,1,1,11,1,1,0,0,1,1,5,1,4,0,1,1,4,0,0,3,1,1,665,36,764
발한동,소계,3574,2200,54,1095,406,137,30,15,8,90,31,77,1,1,4,17,0,0,41,0,1,6,1,0,1,7,9,18,8,1,3,2,1,0,1,1,2,2069,131,1374
,관내사전투표,930,930,20,431,208,67,9,6,1,42,10,50,0,0,2,9,0,0,12,0,0,4,0,0,0,1,3,6,2,0,0,1,1,0,0,0,1,886,44,0
,발한동제1투,1180,531,15,285,81,30,11,2,2,17,6,14,0,0,0,4,0,0,15,0,0,0,1,0,0,3,5,4,4,1,1,0,0,0,0,1,1,503,28,649
,발한동제2투,1464,739,19,379,117,40,10,7,5,31,15,13,1,1,2,4,0,0,14,0,1,2,0,0,1,3,1,8,2,0,2,1,0,0,1,0,0,680,59,725
묵호동,소계,2826,1654,42,808,351,76,27,18,4,58,21,62,3,1,1,8,0,0,21,0,0,2,4,1,1,6,5,11,9,1,1,7,1,0,3,2,0,1555,99,1172
,관내사전투표,577,577,16,250,159,28,7,10,2,23,4,36,1,1,1,5,0,0,4,0,0,1,1,0,0,1,1,2,2,0,1,0,0,0,0,1,0,557,20,0
,묵호동제1투,1611,744,22,363,135,34,14,2,2,32,15,19,1,0,0,2,0,0,12,0,0,1,2,1,1,3,4,8,5,1,0,5,1,0,1,1,0,687,57,867
,묵호동제2투,638,333,4,195,57,14,6,6,0,3,2,7,1,0,0,1,0,0,5,0,0,0,1,0,0,2,0,1,2,0,0,2,0,0,2,0,0,311,22,305
북평동,소계,9056,5745,122,2325,1543,522,51,58,18,278,74,237,4,5,3,45,3,2,52,2,2,7,7,2,6,13,17,31,21,2,3,17,3,0,3,7,9,5494,251,3311
,관내사전투표,2432,2431,44,966,735,196,19,33,6,101,27,128,1,1,1,13,1,0,9,2,0,3,1,2,5,6,4,11,9,0,1,2,1,0,0,4,6,2338,93,1
,북평동제1투,2102,1028,33,436,211,90,11,3,5,71,16,27,2,0,0,17,1,0,19,0,0,2,3,0,0,3,3,6,4,2,1,4,2,0,0,1,1,974,54,1074
,북평동제2투,1477,689,16,321,133,58,7,10,2,21,17,22,0,1,0,4,1,1,6,0,1,1,1,0,0,0,2,6,0,0,0,5,0,0,2,2,1,641,48,788
,북평동제3투,3045,1597,29,602,464,178,14,12,5,85,14,60,1,3,2,11,0,1,18,0,1,1,2,0,1,4,8,8,8,0,1,6,0,0,1,0,1,1541,56,1448
망상동,소계,3279,1991,41,918,446,133,24,21,4,90,24,53,3,1,0,19,1,1,36,1,2,4,4,1,2,3,8,11,7,1,1,5,5,0,2,4,3,1879,112,1288
,관내사전투표,694,694,8,290,189,43,2,8,1,42,9,27,2,0,0,7,0,0,3,0,2,3,0,0,0,1,2,3,1,0,1,2,4,0,1,1,1,653,41,0
,망상동제1투,993,565,10,294,110,30,11,7,0,17,4,7,1,0,0,7,1,0,17,1,0,1,3,0,0,0,0,2,3,1,0,1,1,0,0,1,2,532,33,428
,망상동제2투,1592,732,23,334,147,60,11,6,3,31,11,19,0,1,0,5,0,1,16,0,0,0,1,1,2,2,6,6,3,0,0,2,0,0,1,2,0,694,38,860
삼화동,소계,2750,1787,40,861,358,124,25,18,5,62,22,73,0,0,3,15,1,1,13,1,1,4,0,1,2,5,18,7,3,0,3,5,2,0,3,2,4,1682,105,963
,관내사전투표,768,768,15,348,187,62,9,5,0,22,4,42,0,0,1,6,0,0,0,1,1,2,0,0,2,3,11,5,1,0,1,4,0,0,0,0,0,732,36,0
,삼화동제1투,1155,549,14,265,101,36,8,7,1,27,12,12,0,0,0,4,0,0,7,0,0,2,0,0,0,1,3,1,1,0,2,1,1,0,2,0,2,510,39,606
,삼화동제2투,827,470,11,248,70,26,8,6,4,13,6,19,0,0,2,5,1,1,6,0,0,0,0,1,0,1,4,1,1,0,0,0,1,0,1,2,2,440,30,357
잘못 투입·구분된 투표지,,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2
합계,,27141,18270,578,6602,5154,1430,148,126,59,961,162,676,44,10,11,229,13,8,271,15,17,22,35,9,31,51,69,102,81,12,25,45,32,8,18,28,26,17108,1162,8871
거소·선상투표,,269,262,16,59,52,11,3,3,2,31,2,5,3,1,0,13,2,0,3,2,1,0,4,0,1,1,2,1,0,1,3,0,1,0,1,0,2,226,36,7
관외사전투표,,1486,1486,46,471,430,144,9,14,0,79,6,94,3,0,1,19,0,0,18,2,2,2,4,0,4,2,5,9,14,2,2,5,1,0,1,3,3,1395,91,0
재외투표,,34,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,29
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인제읍,소계,7678,5001,132,1787,1463,480,24,40,16,282,45,195,9,3,3,58,4,2,60,5,3,6,8,1,6,11,15,26,20,5,8,11,8,2,5,5,4,4752,249,2677
,관내사전투표,2014,2014,50,611,677,234,4,7,3,126,9,112,5,0,0,29,1,1,13,2,2,3,3,1,2,2,6,7,7,2,4,3,0,0,2,2,1,1931,83,0
,인제읍제1투,1011,493,8,175,139,41,5,6,2,26,5,19,1,0,0,3,1,0,2,1,1,0,2,0,1,0,1,8,3,0,1,0,1,0,0,0,0,452,41,518
,인제읍제2투,1773,936,26,339,262,93,6,14,5,67,12,27,0,1,3,7,1,0,10,1,0,2,3,0,1,2,2,4,4,1,0,4,4,0,1,2,1,905,31,837
,인제읍제3투,1879,904,36,357,228,64,6,8,3,53,13,16,2,1,0,7,0,0,22,0,0,1,0,0,1,4,5,2,3,1,2,2,3,0,1,1,2,844,60,975
,인제읍제4투,573,353,3,188,66,26,2,2,1,7,3,13,1,1,0,6,1,0,5,1,0,0,0,0,1,1,1,4,0,1,1,1,0,1,1,0,0,338,15,220
,인제읍제5투,428,301,9,117,91,22,1,3,2,3,3,8,0,0,0,6,0,1,8,0,0,0,0,0,0,2,0,1,3,0,0,1,0,1,0,0,0,282,19,127
남면,소계,3132,1972,51,682,612,142,25,10,6,121,18,58,3,1,0,29,1,1,36,1,1,4,2,2,2,4,5,10,5,1,2,7,7,0,2,3,1,1855,117,1160
,관내사전투표,852,852,22,266,285,66,8,6,0,60,8,26,3,1,0,18,1,0,9,1,0,1,2,0,0,3,1,5,2,1,1,1,4,0,1,1,0,803,49,0
,남면제1투,1508,745,18,287,218,45,11,4,5,32,8,20,0,0,0,8,0,1,18,0,1,0,0,1,1,0,3,5,2,0,0,4,2,0,1,1,1,697,48,763
,남면제2투,772,375,11,129,109,31,6,0,1,29,2,12,0,0,0,3,0,0,9,0,0,3,0,1,1,1,1,0,1,0,1,2,1,0,0,1,0,355,20,397
북면,소계,6827,4355,146,1628,1324,274,29,24,16,201,36,147,9,3,2,46,0,2,76,0,4,5,10,3,8,17,18,21,20,1,5,10,8,3,0,6,6,4108,247,2472
,관내사전투표,1825,1825,55,610,626,111,6,9,8,92,9,87,5,2,1,18,0,1,15,0,1,2,5,2,7,4,8,11,11,0,3,4,6,1,0,3,4,1727,98,0
,북면제1투,1324,591,19,249,156,45,7,2,0,18,5,12,0,1,0,10,0,0,11,0,2,1,1,0,1,1,3,4,2,0,1,2,0,1,0,0,0,554,37,733
,북면제2투,1857,907,34,299,272,71,6,6,6,53,12,29,0,0,0,10,0,1,22,0,0,1,3,1,0,5,3,2,7,0,1,1,1,0,0,1,1,848,59,950
,북면제3투,557,315,14,129,90,15,6,4,2,13,4,8,2,0,0,1,0,0,3,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,297,18,242
,북면제4투,461,271,7,140,59,14,2,1,0,8,1,3,1,0,0,4,0,0,12,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,1,259,12,190
,북면제5투,803,446,17,201,121,18,2,2,0,17,5,8,1,0,1,3,0,0,13,0,1,0,1,0,0,5,2,3,0,0,0,0,0,1,0,1,0,423,23,357
기린면,소계,4081,2740,96,1065,649,205,40,11,9,135,25,96,6,0,4,41,4,2,37,2,2,3,3,1,2,11,15,14,10,2,3,7,6,2,6,5,6,2525,215,1341
,관내사전투표,945,945,21,335,277,82,8,8,4,59,7,32,3,0,2,17,0,0,8,0,0,0,2,0,1,1,4,5,6,1,0,1,1,0,4,0,1,890,55,0
,기린면제1투,801,421,17,189,92,31,8,2,0,13,5,13,1,0,1,6,1,1,5,0,1,0,1,0,0,3,6,0,1,0,0,0,2,0,0,1,1,401,20,380
,기린면제2투,364,204,8,97,42,14,5,0,0,10,1,5,0,0,0,1,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,193,11,160
,기린면제3투,294,188,3,98,42,13,4,0,0,3,4,3,0,0,0,4,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,182,6,106
,기린면제4투,278,173,8,77,34,11,4,0,2,4,1,10,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,159,14,105
,기린면제5투,427,293,23,84,51,13,8,0,0,8,2,8,1,0,0,1,0,0,5,1,0,1,0,1,1,2,1,1,0,1,3,0,0,1,0,1,2,220,73,134
,기린면제6투,972,516,16,185,111,41,3,1,3,38,5,25,1,0,0,11,2,0,12,0,1,0,0,0,0,4,2,6,3,0,0,4,2,1,1,1,1,480,36,456
서화면,소계,2234,1515,61,543,401,102,11,11,7,76,13,56,9,2,1,13,1,0,12,1,3,2,2,1,5,3,6,17,9,0,2,1,1,1,1,4,3,1381,134,719
,관내사전투표,655,655,30,173,185,60,1,4,5,36,5,38,7,1,0,4,0,0,4,1,2,1,1,1,3,2,3,13,4,0,1,0,0,0,1,2,2,590,65,0
,서화면제1투,938,452,22,202,108,21,4,3,1,22,5,4,2,0,1,3,0,0,6,0,1,1,0,0,2,0,1,3,3,0,1,1,0,0,0,0,0,417,35,486
,서화면제2투,395,249,7,85,76,11,0,2,1,13,2,11,0,1,0,5,0,0,2,0,0,0,1,0,0,0,2,1,2,0,0,0,0,1,0,2,1,226,23,146
,서화면제3투,246,159,2,83,32,10,6,2,0,5,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,148,11,87
상남면,소계,1400,934,30,367,219,72,7,13,3,35,17,25,2,0,0,10,1,1,29,2,1,0,2,1,3,2,3,4,3,0,0,4,0,0,2,2,1,861,73,466
,관내사전투표,325,325,14,105,97,29,1,1,0,20,1,10,2,0,0,4,0,0,3,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,1,0,294,31,0
,상남면제1투,654,375,13,173,65,18,4,7,1,12,5,12,0,0,0,4,0,0,19,2,0,0,0,1,1,2,1,1,3,0,0,3,0,0,2,1,1,351,24,279
,상남면제2투,421,234,3,89,57,25,2,5,2,3,11,3,0,0,0,2,1,1,7,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,216,18,187
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
합계,,60632,39859,1009,14802,10084,3471,369,1029,111,1774,461,1398,76,20,17,349,46,59,719,30,38,67,108,17,66,125,134,206,177,32,50,118,38,19,70,69,52,37210,2649,20773
거소·선상투표,,190,183,15,46,28,12,4,3,1,10,1,6,2,0,0,2,0,4,5,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,1,2,2,156,27,7
관외사전투표,,3209,3208,79,1075,933,330,19,37,6,162,8,175,7,2,0,35,0,3,43,3,2,3,11,1,5,8,11,18,32,2,6,8,6,2,1,6,4,3043,165,1
재외투표,,163,42,2,15,11,6,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,121
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홍천읍,소계,27117,16742,402,5735,4639,1707,104,266,32,885,196,655,33,7,8,154,14,24,271,13,15,27,40,5,32,67,69,91,93,5,24,47,17,5,24,25,14,15745,997,10375
,관내사전투표,6049,6043,137,1933,1919,634,33,81,7,294,63,300,9,2,5,49,4,5,57,5,4,10,9,0,11,19,26,43,27,2,10,12,5,0,6,8,4,5733,310,6
,홍천읍제1투,1048,553,11,214,139,53,0,9,1,29,5,14,0,0,0,1,0,1,15,0,0,0,2,0,3,1,4,6,2,0,1,1,0,0,0,2,0,514,39,495
,홍천읍제2투,975,503,18,204,93,47,8,7,2,29,5,11,3,0,0,7,1,0,10,1,1,2,1,2,1,1,2,0,4,1,2,2,0,1,1,1,1,469,34,472
,홍천읍제3투,1598,724,11,291,182,60,4,10,0,35,11,21,0,0,0,10,0,0,15,1,3,1,0,0,1,1,4,3,4,0,0,2,2,0,0,2,0,674,50,874
,홍천읍제4투,1702,887,20,327,212,87,6,6,1,42,14,37,0,1,0,10,0,1,12,2,0,3,2,0,2,7,1,2,7,0,2,4,2,0,1,1,0,812,75,815
,홍천읍제5투,1501,749,18,323,150,61,12,26,1,36,6,17,1,1,1,9,3,2,15,0,1,0,1,1,1,0,5,3,1,0,1,2,0,2,3,1,2,706,43,752
,홍천읍제6투,645,365,8,153,72,34,2,7,1,16,6,15,0,0,1,3,1,0,11,0,0,0,0,0,0,3,1,3,2,0,0,1,0,0,2,0,0,342,23,280
