읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이형석,민생당최경환,정의당황순영,민중당윤민호,국가혁명배당금당이재욱,기독자유통일당강휘중,무소속노남수,무소속김원갑,계,무효투표수,기권수
합계,,208908,139020,108229,15281,4086,4514,692,1282,2691,522,137297,1723,69888
거소·선상투표,,435,409,263,57,13,14,7,5,7,19,385,24,26
관외사전투표,,19613,19604,15362,1844,628,588,156,114,428,128,19248,356,9
국외부재자투표,,443,99,82,6,4,1,0,1,4,0,98,1,344
국외부재자투표(공관),,0,5,5,0,0,0,0,0,0,0,5,0,-5
용봉동,소계,27002,16067,12353,1827,483,494,85,181,354,57,15834,233,10935
,관내사전투표,3829,3828,3021,417,116,123,11,14,59,10,3771,57,1
,용봉동제1투,2769,1202,911,116,49,39,12,17,34,7,1185,17,1567
,용봉동제2투,2416,1268,945,180,32,35,12,12,28,1,1245,23,1148
,용봉동제3투,2705,1501,1147,160,50,55,11,20,23,10,1476,25,1204
,용봉동제4투,2020,781,573,81,30,19,3,7,35,6,754,27,1239
,용봉동제5투,4371,2544,1952,288,69,76,14,48,69,3,2519,25,1827
,용봉동제6투,4242,2284,1769,287,53,59,13,27,48,9,2265,19,1958
,용봉동제7투,2115,1284,971,162,40,34,4,16,33,2,1262,22,831
,용봉동제8투,2535,1375,1064,136,44,54,5,20,25,9,1357,18,1160
운암1동,소계,14887,10464,7962,1490,320,243,33,103,167,31,10349,115,4423
,관내사전투표,4692,4692,3598,707,128,98,12,36,63,12,4654,38,0
,운암1동제1투,2899,1413,1071,176,56,34,4,26,27,6,1400,13,1486
,운암1동제2투,2581,1429,1076,203,43,35,6,16,20,5,1404,25,1152
,운암1동제3투,1771,1152,868,164,31,35,5,8,21,4,1136,16,619
,운암1동제4투,2944,1778,1349,240,62,41,6,17,36,4,1755,23,1166
운암2동,소계,11037,6928,5418,835,187,182,32,71,110,14,6849,79,4109
,관내사전투표,3632,3632,2865,476,91,86,11,18,50,3,3600,32,0
,운암2동제1투,1605,617,478,55,15,15,9,15,16,2,605,12,988
,운암2동제2투,1686,739,592,72,21,29,0,8,8,4,734,5,947
,운암2동제3투,2004,908,686,115,29,18,8,17,17,2,892,16,1096
,운암2동제4투,2110,1032,797,117,31,34,4,13,19,3,1018,14,1078
운암3동,소계,11538,7703,5806,1115,224,195,32,82,133,24,7611,92,3835
,관내사전투표,4030,4030,3098,601,110,87,11,26,51,7,3991,39,0
,운암3동제1투,1827,876,663,115,19,20,6,8,18,2,851,25,951
,운암3동제2투,1745,886,643,124,26,37,5,14,19,8,876,10,859
,운암3동제3투,1237,578,419,79,21,20,4,10,17,3,573,5,659
,운암3동제4투,2699,1333,983,196,48,31,6,24,28,4,1320,13,1366
동림동,소계,17230,10897,8746,1053,318,317,43,88,147,38,10750,147,6333
,관내사전투표,3953,3952,3206,408,119,99,10,11,43,11,3907,45,1
,동림동제1투,2736,1332,1060,108,38,35,7,22,27,10,1307,25,1404
,동림동제2투,2089,1012,800,98,33,23,8,13,15,1,991,21,1077
,동림동제3투,2125,1081,846,120,28,39,4,13,10,2,1062,19,1044
,동림동제4투,2607,1587,1257,180,39,49,1,15,26,5,1572,15,1020
,동림동제5투,3720,1933,1577,139,61,72,13,14,26,9,1911,22,1787
삼각동,소계,11329,7211,5530,764,166,378,45,75,148,20,7126,85,4118
,관내사전투표,3582,3582,2780,402,80,179,16,20,70,7,3554,28,0
