읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당문상모,미래통합당서일준,우리공화당박재행,국가혁명배당금당이태재,무소속염용하,무소속김해연,계,무효투표수,기권수
상문동,소계,22830,15015,6246,6886,34,109,240,1395,14910,105,7815
,관내사전투표,4918,4917,2412,1942,10,35,72,422,4893,24,1
,상문동제1투,2495,1366,426,794,4,11,23,97,1355,11,1129
,상문동제2투,3025,2071,855,935,4,12,27,217,2050,21,954
,상문동제3투,3800,1954,743,967,4,19,43,170,1946,8,1846
,상문동제4투,3681,2063,730,1076,6,15,32,187,2046,17,1618
,상문동제5투,4911,2644,1080,1172,6,17,43,302,2620,24,2267
수양동,소계,16108,11600,4862,5467,20,58,179,942,11528,72,4508
,관내사전투표,4316,4315,2095,1813,7,17,60,299,4291,24,1
,수양동제1투,1448,954,382,440,2,5,24,95,948,6,494
,수양동제2투,2402,1222,369,695,6,11,17,106,1204,18,1180
,수양동제3투,2613,1764,687,892,2,8,24,146,1759,5,849
,수양동제4투,1718,1152,479,561,0,5,16,89,1150,2,566
,수양동제5투,3611,2193,850,1066,3,12,38,207,2176,17,1418
잘못 투입·구분된 투표지,,0,5,3,2,0,0,0,0,5,0,-5
