읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서필상,미래통합당강석진,민생당김운향,우리공화당박영주,민중당전성기,국가혁명배당금당김태영,무소속김태호,계,무효투표수,기권수
합계,,35175,25500,5660,7843,143,154,310,274,10635,25019,481,9675
거소·선상투표,,251,235,44,86,12,5,5,6,54,212,23,16
관외사전투표,,1982,1982,699,603,15,8,23,15,573,1936,46,0
국외부재자투표,,65,17,14,1,0,0,1,0,1,17,0,48
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0
함양읍,소계,14352,9852,2248,2658,31,42,151,80,4496,9706,146,4500
,관내사전투표,4218,4218,1143,1013,15,14,51,24,1896,4156,62,0
,함양읍제1투,1223,559,90,157,1,4,11,4,281,548,11,664
,함양읍제2투,1603,931,143,281,4,6,17,7,464,922,9,672
,함양읍제3투,2834,1615,401,447,7,8,19,8,703,1593,22,1219
,함양읍제4투,867,500,78,156,2,1,15,13,222,487,13,367
,함양읍제5투,1808,1097,234,314,1,3,9,11,515,1087,10,711
,함양읍제6투,1163,597,110,177,1,3,19,7,269,586,11,566
,함양읍제7투,636,335,49,113,0,3,10,6,146,327,8,301
마천면,소계,1919,1350,323,390,8,5,23,16,553,1318,32,569
,관내사전투표,751,751,195,207,4,3,11,6,308,734,17,0
,마천면투표소,1168,599,128,183,4,2,12,10,245,584,15,569
휴천면,소계,1389,971,203,302,7,6,9,14,403,944,27,418
,관내사전투표,517,517,125,142,3,2,4,5,221,502,15,0
,휴천면투표소,872,454,78,160,4,4,5,9,182,442,12,418
유림면,소계,1442,978,145,345,7,7,2,23,441,970,8,464
,관내사전투표,550,550,93,207,3,4,2,11,230,550,0,0
,유림면투표소,892,428,52,138,4,3,0,12,211,420,8,464
수동면,소계,2239,1680,318,535,7,15,13,13,744,1645,35,559
,관내사전투표,923,923,194,279,5,6,7,9,407,907,16,0
,수동면투표소,1316,757,124,256,2,9,6,4,337,738,19,559
지곡면,소계,1865,1408,243,433,3,14,21,18,654,1386,22,457
,관내사전투표,862,862,146,256,3,8,13,10,407,843,19,0
,지곡면투표소,1003,546,97,177,0,6,8,8,247,543,3,457
안의면,소계,4151,2928,448,1128,22,18,19,34,1210,2879,49,1223
,관내사전투표,1656,1656,256,622,11,12,16,19,693,1629,27,0
,안의면제1투,1309,698,109,285,6,3,0,9,279,691,7,611
,안의면제2투,1186,574,83,221,5,3,3,6,238,559,15,612
서하면,소계,1262,920,158,331,5,6,8,11,382,901,19,342
,관내사전투표,437,437,75,148,0,6,7,8,185,429,8,0
,서하면투표소,825,483,83,183,5,0,1,3,197,472,11,342
서상면,소계,1644,1226,388,417,11,14,6,17,347,1200,26,418
,관내사전투표,604,604,199,211,7,4,1,9,162,593,11,0
,서상면투표소,1040,622,189,206,4,10,5,8,185,607,15,418
백전면,소계,1369,1020,225,350,5,11,13,10,386,1000,20,349
,관내사전투표,503,503,135,160,2,7,4,5,182,495,8,0
,백전면투표소,866,517,90,190,3,4,9,5,204,505,12,349
병곡면,소계,1245,933,204,264,10,3,16,17,391,905,28,312
,관내사전투표,499,499,132,119,2,0,8,8,213,482,17,0
,병곡면투표소,746,434,72,145,8,3,8,9,178,423,11,312
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0
